image_similarity,text1,epoch,text2,text_similarity,multimodal_similarity
0.8215197,lizard,8,snake,0.8787322,0.41855454
0.5919986,truck,8,airplane,0.780775,0.34432673
0.44058737,truck,8,car,0.86194015,0.23588443
0.612557,swan,8,turkey,0.7353925,0.31639725
0.5572121,horse,8,turtle,0.7325357,0.34073603
0.48918065,mud,8,cheese,0.6281575,0.20786351
0.5616563,eagle,8,squirrel,0.71034014,0.19759643
0.5208429,glasses,8,potato,0.6249131,0.2925114
0.5352248,orange,8,bulldozer,0.59707373,0.28309643
0.54582494,cow,8,snail,0.64867765,0.26864403
0.44690895,key,8,acorn,0.61662924,0.38263357
0.5941487,goat,8,turkey,0.72382045,0.28537506
0.7242352,frog,8,turtle,0.8160852,0.4001518
0.733972,butter,8,cheese,0.7942254,0.39115417
0.67171925,monkey,8,squirrel,0.78166467,0.39833266
0.5434605,pot,8,potato,0.73504525,0.44817406
0.6713037,tractor,8,bulldozer,0.82143116,0.44888812
0.6732397,worm,8,snail,0.8115491,0.41864496
0.7262443,coconut,8,acorn,0.7066966,0.44486886
0.43329653,dresser,8,balloon,0.6727624,0.24746937
0.6739418,kite,8,balloon,0.78516257,0.36266637
0.5310432,sock,8,bathtub,0.6582574,0.35443318
0.74669373,shower,8,bathtub,0.8171825,0.452327
0.5173138,ladybug,8,camel,0.6007898,0.2050556
0.695459,elephant,8,camel,0.80937004,0.3585698
0.5785595,zipper,8,cloud,0.6102728,0.21190572
0.75508505,tree,8,cloud,0.7329012,0.29379886
0.521064,seahorse,8,crow,0.58475846,0.13285077
0.6672678,penguin,8,crow,0.78817964,0.37459177
